monosaccharide_id:ID,:LABEL,mono_name_raw,mono_name_norm,mono_family
mono:e960ee19c478,Monosaccharide,glucose,glucose,
mono:2f713f4e3b43,Monosaccharide,galactose,galactose,
mono:7bdebc03fef7,Monosaccharide,arabinose,arabinose,
mono:cd22a9eb89a8,Monosaccharide,mannose,mannose,
mono:be284897ae95,Monosaccharide,rhamnose,rhamnose,
mono:69977f67f818,Monosaccharide,galacturonic acid,galacturonic acid,
mono:997ac9293e0c,Monosaccharide,lyxose,lyxose,
mono:6390e9567975,Monosaccharide,xylose,xylose,
mono:4dc02ca9ea1f,Monosaccharide,ribose,ribose,
mono:e28c8e0a806b,Monosaccharide,glucuronic acid,glucuronic acid,
mono:a9fe4b9605f3,Monosaccharide,fucose,fucose,
mono:2cdb8961f7de,Monosaccharide,fructose,fructose,
mono:4c049e555cbd,Monosaccharide,galactosamine,galactosamine,
mono:9974d67628e3,Monosaccharide,mannuronic acid,mannuronic acid,
mono:846ce8a923dc,Monosaccharide,guluronic acid,guluronic acid,
mono:41bf6a84967f,Monosaccharide,glucosamine,glucosamine,
mono:2e47cea94653,Monosaccharide,methylgalactose,methylgalactose,
mono:348567a6fc9d,Monosaccharide,n-acetyl-d-galactosamine,n-acetyl-d-galactosamine,
mono:54e05909de72,Monosaccharide,mannitol,mannitol,
mono:e53c5f73a352,Monosaccharide,n-acetyl-d-glucosamine,n-acetyl-d-glucosamine,
mono:ba3cabdbc6ce,Monosaccharide,apiose,apiose,
mono:39a526d4247a,Monosaccharide,iduronic acid,iduronic acid,
mono:8dcb1d37d757,Monosaccharide,allose,allose,
