monosaccharide_id,mono_name_raw,mono_name_norm,mono_family
mono:e960ee19c478,glucose,glucose,
mono:2f713f4e3b43,galactose,galactose,
mono:7bdebc03fef7,arabinose,arabinose,
mono:cd22a9eb89a8,mannose,mannose,
mono:be284897ae95,rhamnose,rhamnose,
mono:69977f67f818,galacturonic acid,galacturonic acid,
mono:997ac9293e0c,lyxose,lyxose,
mono:6390e9567975,xylose,xylose,
mono:4dc02ca9ea1f,ribose,ribose,
mono:e28c8e0a806b,glucuronic acid,glucuronic acid,
mono:a9fe4b9605f3,fucose,fucose,
mono:2cdb8961f7de,fructose,fructose,
mono:4c049e555cbd,galactosamine,galactosamine,
mono:9974d67628e3,mannuronic acid,mannuronic acid,
mono:846ce8a923dc,guluronic acid,guluronic acid,
mono:41bf6a84967f,glucosamine,glucosamine,
mono:2e47cea94653,methylgalactose,methylgalactose,
mono:348567a6fc9d,n-acetyl-d-galactosamine,n-acetyl-d-galactosamine,
mono:54e05909de72,mannitol,mannitol,
mono:e53c5f73a352,n-acetyl-d-glucosamine,n-acetyl-d-glucosamine,
mono:ba3cabdbc6ce,apiose,apiose,
mono:39a526d4247a,iduronic acid,iduronic acid,
mono:8dcb1d37d757,allose,allose,
